,club_name,season,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_contract_valid_until,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
266,Hellas Verona,2020-2021,73.19,76.19,4506250.0,20875.0,26.81,182.88,77.12,2022.25,1.25,67.8,60.4,64.67,69.73,61.73,69.73,60.4,57.2,66.67,70.87,56.8,68.8,56.8,51.47,65.6,72.07,68.6,67.0,68.93,68.33,66.93,68.73,66.87,70.27,69.87,60.73,69.07,60.4,63.0,62.13,54.33,69.13,61.0,62.2,59.73,79,75,65,77,79,60.0
267,Hellas Verona,2021-2022,74.69,78.31,6825000.0,22375.0,25.94,184.5,77.19,2022.81,1.31,71.53,59.4,65.73,70.73,61.0,68.8,60.07,55.4,65.13,72.67,54.53,69.07,59.2,51.4,67.2,73.4,71.07,72.07,71.2,71.0,67.87,69.0,65.13,71.4,69.47,60.6,63.93,60.67,59.73,63.2,54.07,69.6,60.47,61.4,58.8,74,71,70,72,76,41.0
268,Hertha BSC,2017-2018,77.06,79.31,9187500.0,29375.0,27.19,182.31,75.44,2019.5,1.88,70.0,59.47,67.27,72.93,55.0,68.47,63.6,58.2,63.53,74.6,56.33,72.13,62.8,53.07,63.4,75.07,69.8,70.13,70.8,75.73,70.13,65.27,71.27,72.8,66.4,55.73,66.87,54.33,64.6,66.2,60.07,71.87,51.53,56.8,53.13,78,81,72,87,85,43.0
269,Hertha BSC,2018-2019,76.56,79.69,8468750.0,24687.5,26.56,182.12,76.38,2020.81,1.62,70.13,60.07,67.67,73.67,59.73,68.27,64.6,58.0,62.13,74.27,56.47,72.6,63.33,50.8,63.93,75.93,70.87,69.47,71.93,74.07,72.53,67.87,70.87,71.47,67.6,56.33,65.13,55.73,63.6,66.8,60.47,72.07,67.87,56.47,51.53,79,80,76,86,83,43.0
270,Hertha BSC,2019-2020,76.5,81.44,9843750.0,26875.0,25.19,184.62,80.5,2021.81,1.38,72.93,61.93,66.87,73.47,61.33,70.0,63.8,60.4,63.27,73.4,55.13,73.4,61.53,50.0,65.47,75.13,71.73,74.0,70.8,73.47,70.07,71.67,70.47,73.47,70.6,58.2,63.67,57.13,66.67,65.13,53.4,70.4,64.27,62.27,55.4,79,82,76,86,84,43.0
271,Hertha BSC,2020-2021,76.44,81.5,13218750.0,36250.0,24.38,182.69,78.25,2023.44,1.19,72.67,58.4,65.13,72.47,62.2,72.4,63.73,55.73,63.73,72.27,52.33,72.53,56.6,46.6,63.93,72.07,74.33,71.47,71.8,72.27,72.8,68.67,74.6,77.0,72.0,56.73,66.47,61.73,62.87,62.0,52.07,69.67,61.8,63.67,58.47,78,76,71,78,81,37.0
272,Hertha BSC,2021-2022,75.44,78.25,7587500.0,35625.0,26.81,182.81,78.62,2023.88,1.81,70.73,59.4,66.07,71.73,62.67,72.47,63.2,55.4,68.8,72.27,54.87,71.8,60.93,48.6,64.53,72.47,70.33,70.93,70.6,71.6,70.07,70.13,77.73,72.6,72.4,59.53,70.47,61.67,62.47,64.6,53.67,70.0,60.4,64.33,59.87,76,75,66,76,80,37.0
273,Huddersfield Town,2017-2018,73.12,76.12,5000000.0,36250.0,25.69,183.94,78.19,2019.44,1.0,71.47,57.67,64.07,66.33,59.13,73.67,61.53,56.33,65.0,69.13,50.93,64.8,52.33,48.07,64.6,69.27,70.87,72.13,65.47,69.13,65.07,64.8,70.2,77.33,73.93,53.87,69.8,57.13,62.53,63.53,56.2,67.0,55.73,61.67,58.47,74,77,67,71,77,32.0
274,Huddersfield Town,2018-2019,75.06,78.38,7437500.0,38125.0,25.5,184.62,76.69,2020.25,1.12,70.8,56.87,65.6,68.8,57.13,69.6,64.33,55.0,65.13,71.67,51.07,67.2,57.2,46.93,63.8,72.47,70.13,71.33,65.87,70.47,64.93,65.13,68.73,70.07,70.4,52.8,67.4,54.0,63.93,64.27,55.0,68.87,55.67,58.2,56.27,74,77,67,71,77,32.0
275,Inter Mailand,2017-2018,80.38,83.31,19187500.0,71875.0,26.69,184.19,76.62,2020.0,2.38,74.33,65.0,71.07,75.0,63.73,71.53,67.67,60.67,67.47,76.53,62.07,74.87,64.6,57.0,70.33,78.33,73.4,75.13,69.47,77.0,65.27,74.67,68.13,77.4,70.73,65.73,66.73,64.93,68.93,70.13,60.33,75.53,60.07,66.0,63.2,87,86,69,87,87,56.0
